n,t,Term,id,paper_list,affiliation
CHENG BO,Telecom Web services communication; hybrid services orchestration; IT service; hybrid service; similar service delivery platform; Web Service technology; Internet services functionalities; Web services accessibility; Web services technology; communication services orchestration,"['telecom', 'web', 'servic', 'commun', 'hybrid', 'servic', 'orchestr', 'it', 'servic', 'hybrid', 'servic', 'similar', 'servic', 'deliveri', 'platform', 'web', 'servic', 'technolog', 'internet', 'servic', 'function', 'web', 'servic', 'access', 'web', 'servic', 'technolog', 'commun', 'servic', 'orchestr']",46,1. An Adaptive User Requirements Elicitation Framework,"Beijing University of Posts and Telecommunications, China;Research & Development Center of Electric Vehicle Xi'an Jiaotong University, Xi'an 710049, China;Hangzhou Dianzi University, Hangzhou, China;College of computer science and engineering, University of Electronic Science and Technology of China, Chengdu, P.R. China;Department of Computer Science, Illinois Institute of Technology, USA
"
Jean Martinet,digital image; visual word; higher-level visual representation; weighting scheme; content-based image; content-based image retrieval; digital image acquisition device; face image; image object; query image,"['digit', 'imag', 'visual', 'word', 'higher-level', 'visual', 'represent', 'weight', 'scheme', 'content-bas', 'imag', 'content-bas', 'imag', 'retriev', 'digit', 'imag', 'acquisit', 'devic', 'face', 'imag', 'imag', 'object', 'queri', 'imag']",52,"1. A relational vector-space model of information retrieval adapted to images, 2. A model for weighting image objects in home photographs, 3. Media objects for user-centered similarity matching, 4. Analyzing eye fixations and gaze orientations on films and pictures, 5. A weighting scheme for star-graphs","MRIM, CLIPSIMAG, Grenoble, France;National Institute of Informatics, Tokyo, Japan;University of Sciences and Technologies of Lille, Lille, France;MRIM, CLIPSIMAG, Grenoble, France and Computing Science Department, Glasgow, UK;Laboratoire d'Informatique Fondamentale de Lille, Cité scientifique, Bítiment M3, 59655 Villeneuve d'Ascq Cédex, France;LIFL/CNRSUMR 8022, Lille1 University & Telecom, France
"
Tetsuro Nishino,positive sample; song syntax; quantum circuit; induction algorithm; Bengalese finch; quantum recurrent circuit; tree-structured diagram; Ethological data mining; negation-limited inverters; constraint-based algorithm,"['posit', 'sampl', 'song', 'syntax', 'quantum', 'circuit', 'induct', 'algorithm', 'bengales', 'finch', 'quantum', 'recurr', 'circuit', 'tree-structur', 'diagram', 'etholog', 'data', 'mine', 'negation-limit', 'invert', 'constraint-bas', 'algorithm']",97,"1. CRITAC—an experimental system for Japanese text proofreading, 2. Relating attribute grammars and lexical-functional grammars, 3. Tidy drawing of tree structured diagrams (abstract), 4. On the complexity of negation-limited Boolean networks, 5. More on the complexity of negation-limited circuits","School of Information Science, Japan Advanced Institute of Science and Technology, Hokuriku, 15 Asahidai Tatsunokuchi, Ishikawa 92312, Japan;Department of Communications and Systems Engineering, The University of ElectroCommunications, Chofushi, Tokyo 182, Japan
"
G. Cortelazzo,frequency domain; depth data; proposed technique; color information; proposed method; proposed scheme; proposed system; experimental result; depth information; geometry information,"['frequenc', 'domain', 'depth', 'data', 'propos', 'techniqu', 'color', 'inform', 'propos', 'method', 'propos', 'scheme', 'propos', 'system', 'experiment', 'result', 'depth', 'inform', 'geometri', 'inform']",99,"1. An algorithm for simultaneous magnitude and phase approximation of bivariate rational polynomials, 2. Spectral estimation of video signals, 3. Frequency domain analysis of rotational motion, 4. Rational multiple criterion approximation and rational complex approximation by differential correction-type algorithms, 5. Normalized weighted Levensthein distance and triangle inequality in the context of similarity discrimination of bilevel images","University of Padua, Italy;CNR, Italy
"
Hiroaki Nishino,proposed system; haptic device; proposed method; application system; implementation method; new method; haptic interaction; DVR system; support system; system target,"['propos', 'system', 'haptic', 'devic', 'propos', 'method', 'applic', 'system', 'implement', 'method', 'new', 'method', 'haptic', 'interact', 'dvr', 'system', 'support', 'system', 'system', 'target']",106,"1. Interactive two-handed gesture interface in 3D virtual environments, 2. 3D object modeling using spatial and pictographic gestures, 3. A method for sharing interactive deformations in collaborative 3D modeling, 4. An Interactive 3D Interface for a Virtual Ceramic Art Work Environment, 5. A 3D Modeling System for Creative Design","Dept. of Computer Science and Intelligent Systems, Oita University, 700 Dannoharu, Oita 87011, Japan
"
Michael K. Birbas,D converter; die area; ultra low area; integer divider; voltage variation; coarse ADC; low power consumption; lower power; power consumption; D design alternative,"['d', 'convert', 'die', 'area', 'ultra', 'low', 'area', 'integ', 'divid', 'voltag', 'variat', 'coars', 'adc', 'low', 'power', 'consumpt', 'lower', 'power', 'power', 'consumpt', 'd', 'design', 'altern']",108,"1. Mapping interactive algorithms on regular processor arrays without using uniform recurrent equations, 2. Direct mapping of nested loops on piecewise regular processor arrays, 3. Hardware - Software Co-design of embedded telecommunication systems using multiple formalisms for application development, 4. A CAD Tool for the Development of an Extra-Fast Fuzzy Logic Controller Based on FPGAs and Memory Modules","Department of Electrical and Computer Engineering, University of Patras, Patras, Greece;Analogies S.A., Patras Science Park, Greece;Analogies S.A., PlataniPatras, Greece;Analogies S.A., Patras Science Park, PlataniRio 26504, Greece;Analogies S.A., Patras, Greece;Analogies S.A., Patras Innovation Hub, 4 Kastritsi road, Ano Kastritsi, Patra 26504, Greece;Analogies S.A., Patra, Greece
"
S. E. Salcudean,prostate brachytherapy; needle insertion; ultrasound image; needle image; needle position; tissue displacement; finite element method; transrectal ultrasound; ultrasound transducer; ultrasound volume,"['prostat', 'brachytherapi', 'needl', 'insert', 'ultrasound', 'imag', 'needl', 'imag', 'needl', 'posit', 'tissu', 'displac', 'finit', 'element', 'method', 'transrect', 'ultrasound', 'ultrasound', 'transduc', 'ultrasound', 'volum']",117,"1. Coarse-Fine Motion Coordination and Control of a Teleoperation System with Magnetically Levitated Master and Wrist, 2. Coordinated and Force-Feedback Control of Hydraulic Excavators, 3. Evaluation of Impedance and Teleoperation Control of a Hydraulic Mini-Excavator, 4. A New Approach to the Control of a Hydraulic Stewart Platform, 5. Performance measurement in scaled teleoperation for microsurgery","Department of Electrical Engineering, The University of British Columbia, Vancouver, British Columbia V6T 1Z4 Canada. Email: leos@ece.ubc.ca, tims@ece.ubc.ca
"
David R. Hanson,programming language; data structure; dynamic scope; procedure mechanism; SL5 programming language; data object; source code; command language; common intermediate language; high-level language,"['program', 'languag', 'data', 'structur', 'dynam', 'scope', 'procedur', 'mechan', 'sl5', 'program', 'languag', 'data', 'object', 'sourc', 'code', 'command', 'languag', 'common', 'intermedi', 'languag', 'high-level', 'languag']",132,"1. Compact recursive-descent parsing of expressions, 2. Optimization of argument evaluation order, 3. A code generation interface for ANSI C, 4. Simple register spilling in a retargetable compiler, 5. Garbage collection alternatives for Icon","Princeton Univ., Princeton, NJ;Department of Computer Science, University of Arizona, Tucson, AZ;Yale Univ., New Haven, CT;Microsoft Research, 1 Microsoft Way, Redmond, WA
"
Giuseppe Ferri,generation current conveyor; standard CMOS technology; low voltage low power; V supply voltage; voltage gain; Theminimum experimental supply voltage; afull voltage swing; applied input differential voltage; differential voltage; external control voltage,"['gener', 'current', 'conveyor', 'standard', 'cmo', 'technolog', 'low', 'voltag', 'low', 'power', 'v', 'suppli', 'voltag', 'voltag', 'gain', 'theminimum', 'experiment', 'suppli', 'voltag', 'aful', 'voltag', 'swing', 'appli', 'input', 'differenti', 'voltag', 'differenti', 'voltag', 'extern', 'control', 'voltag']",156,"1. A Low-Voltage Fully Differential Constant-Gm Rail-to-Rail CMOS Operational Amplifier, 2. Low-voltage low-power integrated phase-shifter as resistive sensor transducer, 3. Low-Voltage Low-Power IntegratedPhase-Shifter as Resistive SensorTransducer, 4. Low-Power Adaptive Biased Integrated Amplifiers, 5. CMOS Power-Efficient Buffers and Amplifiers","Universita’ L’Aquila, Italy, Loc.Monteluco Roio, 67040 Poggio di Roio
"
George-Othon Glentis,proposed algorithm; efficient algorithm; TD-LMS algorithm; squares algorithm; proposed method; 2-D FAPA algorithm; 2-D LMS algorithm; 2-D RLS algorithm; FRLS algorithm; IAA algorithm,"['propos', 'algorithm', 'effici', 'algorithm', 'td-lm', 'algorithm', 'squar', 'algorithm', 'propos', 'method', '2-d', 'fapa', 'algorithm', '2-d', 'lm', 'algorithm', '2-d', 'rl', 'algorithm', 'frl', 'algorithm', 'iaa', 'algorithm']",159,"1. Efficient adaptive algorithms for multichannel least squares filtering using a channel decomposition technique, 2. Efficient multichannel FIR filtering using a single step versatile order recursive algorithm, 3. A fast algorithm for QR-1 factorization of Toeplitz matrices, 4. A highly modular adaptive lattice algorithm for multichannel least squares filtering, 5. A true order recursive algorithm for two-dimensional mean squared error linear prediction and filtering","Technological Education Institute of Crete, Branch at Chania, Department of Electronics, Halepa, Chania, Greece;Dept. of Electr. Eng., Twente Univ., Enschede, Netherlands;Department of Science and Technology of Telecommunications, University of Peloponnese, Tripolis, Greece;Dept. of Electron., TEI of Heraklion, Chania;Dept. of Inf., Athens Univ.;Dept. of Electron., TEI of Heraklion, Chinia
"
